,Database Accession,Database,Gene Symbol,Disease,Variant Type,Pathogenicity,Review Status,Star Level,Submitter,HGVS Normalization Failure Reason,Duplicated
67,RCV000143129,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
75,RCV000633661,ClinVar,ACADM,Metabolic,Duplication,Likely pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
78,RCV000708106,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
79,RCV000708425,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
84,RCV001031314,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
85,RCV001031785,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
86,RCV001031818,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
87,RCV001032633,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
88,RCV001032887,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
89,RCV001033551,ClinVar,ACADM,Metabolic,Deletion,Pathogenic,"criteria provided, single submitter",1,Invitae,Compound Variant,0
90,RCV000053842,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
100,RCV000136913,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
5,405821:32,Global_Variome,ACADM,Metabolic,Deletion,-,-,-,Belen Perez,Compound Variant,0
68,RCV000410180,ClinVar,ACADM,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
69,RCV000410396,ClinVar,ACADM,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
70,RCV000410859,ClinVar,ACADM,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,Counsyl,Microsatellite,0
91,RCV000185676,ClinVar,ACADM,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,GeneDx,Microsatellite,0
93,RCV000508453,ClinVar,ACADM,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Quest Diagnostics Nichols Institute San Juan Capistrano,Microsatellite,0
95,RCV000686896,ClinVar,ACADM,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
96,RCV000805620,ClinVar,ACADM,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,Invitae,Microsatellite,0
97,RCV000814866,ClinVar,ACADM,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Invitae,Microsatellite,0
99,RCV000595383,ClinVar,ACADM,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
101,RCV000211510,ClinVar,ACADM,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,"Multiple Submitters: ARUP Laboratories, Molecular Genetics and Genomics,ARUP Laboratories, Counsyl",Microsatellite,0
102,RCV000313722,ClinVar,ACADM,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,"EGL Genetic Diagnostics, Eurofins Clinical Diagnostics",Microsatellite,0
71,RCV000510871,ClinVar,ACADM,Metabolic,copy number loss,Likely pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
72,RCV000510973,ClinVar,ACADM,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
73,RCV000512001,ClinVar,ACADM,Metabolic,copy number gain,Likely benign,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
74,RCV000585144,ClinVar,ACADM,Metabolic,copy number gain,Uncertain significance,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,No variant information provided,0
76,RCV000684586,ClinVar,ACADM,Metabolic,copy number gain,Likely pathogenic,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
77,RCV000684589,ClinVar,ACADM,Metabolic,copy number loss,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
80,RCV000749038,ClinVar,ACADM,Metabolic,copy number gain,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
81,RCV000749040,ClinVar,ACADM,Metabolic,copy number loss,Benign,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
82,RCV000767771,ClinVar,ACADM,Metabolic,copy number gain,Pathogenic,"criteria provided, single submitter",1,Baylor Genetics,No variant information provided,0
83,RCV000839245,ClinVar,ACADM,Metabolic,Deletion,Benign,"criteria provided, single submitter",1,GeneDx,No variant information provided,0
92,RCV000446378,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,"ARUP Laboratories, Cytogenetics and Genomic Microarray,ARUP Laboratories",No variant information provided,0
94,RCV000512152,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
98,RCV000847457,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
103,RCV000510161,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
104,RCV000511392,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
105,RCV000844927,ClinVar,ACADM,Metabolic,Deletion,not provided,no assertion provided,0,"GenomeConnect, ClinGen",No variant information provided,0
106,RCV000846441,ClinVar,ACADM,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,"Lineagen, Inc",No variant information provided,0
0,ACADM_1462,CCHMC,ACADM,Metabolic,-,Likely benign,-,-,-,No variant information provided,0
1,ACADM_1463,CCHMC,ACADM,Metabolic,-,Likely pathogenic,-,-,CARLA CARDUCCI,No variant information provided,0
246,RCV000707866,ClinVar,ACADS,Metabolic,Deletion,Uncertain significance,"criteria provided, single submitter",1,Invitae,Compound Variant,0
251,RCV000050866,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,"criteria provided, single submitter",1,ISCA site 4,Compound Variant,0
252,RCV000051342,ClinVar,ACADS,Metabolic,copy number loss,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
253,RCV000051981,ClinVar,ACADS,Metabolic,copy number gain,Uncertain significance,"criteria provided, single submitter",1,ISCA site 15,Compound Variant,0
254,RCV000053689,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,"criteria provided, single submitter",1,GeneDx,Compound Variant,0
255,RCV000137651,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
256,RCV000142454,ClinVar,ACADS,Metabolic,copy number loss,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
257,RCV000143656,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,Compound Variant,0
259,RCV000139555,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 4,Compound Variant,0
72,434508:10090,BIPmed_SNPhg19,ACADS,Metabolic,single nucleotide variant,-,-,-,Admin,Incorrect reference base,0
247,RCV001069728,ClinVar,ACADS,Metabolic,Microsatellite,Uncertain significance,"criteria provided, single submitter",1,Invitae,Microsatellite,0
265,RCV000004037,ClinVar,ACADS,Metabolic,Microsatellite,Likely pathogenic,"criteria provided, single submitter",1,"Multiple Submitters: OMIM, Invitae, Counsyl",Microsatellite,0
266,RCV000185702,ClinVar,ACADS,Metabolic,Microsatellite,Pathogenic,"criteria provided, multiple submitters, no conflicts",2,"Multiple Submitters: GeneDx, CeGaT Praxis fuer Humangenetik Tuebingen",Microsatellite,0
267,RCV001196495,ClinVar,ACADS,Metabolic,Microsatellite,Pathogenic,"criteria provided, single submitter",1,"Centre for Mendelian Genomics,University Medical Centre Ljubljana",Microsatellite,0
248,RCV000585446,ClinVar,ACADS,Metabolic,copy number gain,Likely benign,"criteria provided, single submitter",1,CeGaT Praxis fuer Humangenetik Tuebingen,No variant information provided,0
249,RCV000683423,ClinVar,ACADS,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
250,RCV000683452,ClinVar,ACADS,Metabolic,copy number gain,Uncertain significance,no assertion criteria provided,0,Quest Diagnostics Nichols Institute San Juan Capistrano,No variant information provided,0
258,RCV000738070,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
260,RCV000258805,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,"criteria provided, single submitter",1,"Clinical Cytogenomics Laboratory,Laboratory for Precision Diagnostics, University of Washington",No variant information provided,0
261,RCV000510482,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
262,RCV000511643,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,ISCA site 1,No variant information provided,0
263,RCV000750246,ClinVar,ACADS,Metabolic,copy number gain,Pathogenic,no assertion criteria provided,0,"Cincinnati Children's Hospital Medical Center Laboratory of Genetics and Genomics, Cincinnati Children's Hospital Medical Center",No variant information provided,0
